,group_0,group_1,group_2,group_3,group_4,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,0_9,0_10,0_11,0_12,0_13,0_14,0_15,0_16,0_17,0_18,0_19,0_20,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,1_10,1_11,1_12,1_13,1_14,1_15,1_16,1_17,1_18,1_19,1_20,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9,2_10,2_11,2_12,2_13,2_14,2_15,2_16,2_17,2_18,2_19,2_20,3_0,3_1,3_2,3_3,3_4,3_5,3_6,3_7,3_8,3_9,3_10,3_11,3_12,3_13,3_14,3_15,3_16,3_17,3_18,3_19,3_20,4_0,4_1,4_2,4_3,4_4,4_5,4_6,4_7,4_8,4_9,4_10,4_11,4_12,4_13,4_14,4_15,4_16,4_17,4_18,4_19,4_20,time_in_hours_sin,time_in_hours_cos,0,event
13/07/2014 15:15,0.059462266,0,0,0,0.047027788,0.059462266,0.075444017,0.070747489,0.086507038,0.148201085,0.195654204,0.62489281,2.021236368,3.532163169,2.470470976,0.227188641,0,0,0,0.000723644,0.010494721,0,0,0,0,0,0,0,0.030266778,0.929385966,0.030628922,0.229536317,1.484888141,4.039098043,3.296997755,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014181547,0.155582183,0.365876022,0.151138987,0.288591991,1.165397287,3.15232148,3.97404348,0.080369601,0,0,0,0,0.001768145,0.000933671,0.001365753,0,0,0,0,0,0,0.353987425,0.965011468,0,0.675292907,3.507589354,5.776377977,6.66741211,0,0,0,0,0,0,0,0,0,0,0,0,0.047027788,0.022664035,0.019796658,0.036470129,0.046892818,0.191072095,1.536154256,3.803236727,6.927681572,1.819233959,0.071269721,0.046229569,0.047922414,0.048500091,0.087732541,0.065550852,0.051929095,0.046894491,0.046611924,0.04914457,0.048549403,-0.751839807,-0.659345815,1.650666667,1
13/07/2014 15:30,0.045755842,0,0,0,0.018142081,0.045755842,0.059462266,0.075444017,0.070747489,0.086507038,0.148201085,0.195654204,0.62489281,2.021236368,3.532163169,2.470470976,0.227188641,0,0,0,0.000723644,0.010494721,0,0,0,0,0,0,0,0.030266778,0.929385966,0.030628922,0.229536317,1.484888141,4.039098043,3.296997755,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014181547,0.155582183,0.365876022,0.151138987,0.288591991,1.165397287,3.15232148,3.97404348,0.080369601,0,0,0,0,0.001768145,0.000933671,0.001365753,0,0,0,0,0,0,0.353987425,0.965011468,0,0.675292907,3.507589354,5.776377977,6.66741211,0,0,0,0,0,0,0,0,0,0,0,0.018142081,0.047027788,0.022664035,0.019796658,0.036470129,0.046892818,0.191072095,1.536154256,3.803236727,6.927681572,1.819233959,0.071269721,0.046229569,0.047922414,0.048500091,0.087732541,0.065550852,0.051929095,0.046894491,0.046611924,0.04914457,-0.79335334,-0.608761429,1.162,1
13/07/2014 15:45,0.029457192,0,0,0,0.032961047,0.029457192,0.045755842,0.059462266,0.075444017,0.070747489,0.086507038,0.148201085,0.195654204,0.62489281,2.021236368,3.532163169,2.470470976,0.227188641,0,0,0,0.000723644,0.010494721,0,0,0,0,0,0,0,0.030266778,0.929385966,0.030628922,0.229536317,1.484888141,4.039098043,3.296997755,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014181547,0.155582183,0.365876022,0.151138987,0.288591991,1.165397287,3.15232148,3.97404348,0.080369601,0,0,0,0,0.001768145,0.000933671,0.001365753,0,0,0,0,0,0,0.353987425,0.965011468,0,0.675292907,3.507589354,5.776377977,6.66741211,0,0,0,0,0,0,0,0,0,0,0.032961047,0.018142081,0.047027788,0.022664035,0.019796658,0.036470129,0.046892818,0.191072095,1.536154256,3.803236727,6.927681572,1.819233959,0.071269721,0.046229569,0.047922414,0.048500091,0.087732541,0.065550852,0.051929095,0.046894491,0.046611924,-0.831469612,-0.555570233,0.879,1
13/07/2014 16:00,0.044466334,0,0,0,0.029689991,0.044466334,0.029457192,0.045755842,0.059462266,0.075444017,0.070747489,0.086507038,0.148201085,0.195654204,0.62489281,2.021236368,3.532163169,2.470470976,0.227188641,0,0,0,0.000723644,0.010494721,0,0,0,0,0,0,0,0.030266778,0.929385966,0.030628922,0.229536317,1.484888141,4.039098043,3.296997755,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014181547,0.155582183,0.365876022,0.151138987,0.288591991,1.165397287,3.15232148,3.97404348,0.080369601,0,0,0,0,0.001768145,0.000933671,0.001365753,0,0,0,0,0,0,0.353987425,0.965011468,0,0.675292907,3.507589354,5.776377977,6.66741211,0,0,0,0,0,0,0,0,0,0.029689991,0.032961047,0.018142081,0.047027788,0.022664035,0.019796658,0.036470129,0.046892818,0.191072095,1.536154256,3.803236727,6.927681572,1.819233959,0.071269721,0.046229569,0.047922414,0.048500091,0.087732541,0.065550852,0.051929095,0.046894491,-0.866025404,-0.5,0.689,1
13/07/2014 16:15,0.045668667,0,0.011186051,0.005151277,0.025814295,0.045668667,0.044466334,0.029457192,0.045755842,0.059462266,0.075444017,0.070747489,0.086507038,0.148201085,0.195654204,0.62489281,2.021236368,3.532163169,2.470470976,0.227188641,0,0,0,0.000723644,0.010494721,0,0,0,0,0,0,0,0.030266778,0.929385966,0.030628922,0.229536317,1.484888141,4.039098043,3.296997755,0,0,0,0,0,0,0,0,0.011186051,0,0,0,0,0.014181547,0.155582183,0.365876022,0.151138987,0.288591991,1.165397287,3.15232148,3.97404348,0.080369601,0,0,0,0,0.001768145,0.000933671,0.001365753,0.005151277,0,0,0,0,0,0.353987425,0.965011468,0,0.675292907,3.507589354,5.776377977,6.66741211,0,0,0,0,0,0,0,0,0.025814295,0.029689991,0.032961047,0.018142081,0.047027788,0.022664035,0.019796658,0.036470129,0.046892818,0.191072095,1.536154256,3.803236727,6.927681572,1.819233959,0.071269721,0.046229569,0.047922414,0.048500091,0.087732541,0.065550852,0.051929095,-0.896872742,-0.44228869,0.591666667,1
13/07/2014 16:30,0.043684263,0,0.008540532,0,0.06961055,0.043684263,0.045668667,0.044466334,0.029457192,0.045755842,0.059462266,0.075444017,0.070747489,0.086507038,0.148201085,0.195654204,0.62489281,2.021236368,3.532163169,2.470470976,0.227188641,0,0,0,0.000723644,0.010494721,0,0,0,0,0,0,0,0.030266778,0.929385966,0.030628922,0.229536317,1.484888141,4.039098043,3.296997755,0,0,0,0,0,0,0,0.008540532,0.011186051,0,0,0,0,0.014181547,0.155582183,0.365876022,0.151138987,0.288591991,1.165397287,3.15232148,3.97404348,0.080369601,0,0,0,0,0.001768145,0.000933671,0,0.005151277,0,0,0,0,0,0.353987425,0.965011468,0,0.675292907,3.507589354,5.776377977,6.66741211,0,0,0,0,0,0,0,0.06961055,0.025814295,0.029689991,0.032961047,0.018142081,0.047027788,0.022664035,0.019796658,0.036470129,0.046892818,0.191072095,1.536154256,3.803236727,6.927681572,1.819233959,0.071269721,0.046229569,0.047922414,0.048500091,0.087732541,0.065550852,-0.923879533,-0.382683432,0.54,1
13/07/2014 16:45,0.094615179,0,0.018187983,0.018072701,0.056795678,0.094615179,0.043684263,0.045668667,0.044466334,0.029457192,0.045755842,0.059462266,0.075444017,0.070747489,0.086507038,0.148201085,0.195654204,0.62489281,2.021236368,3.532163169,2.470470976,0.227188641,0,0,0,0.000723644,0,0,0,0,0,0,0,0,0.030266778,0.929385966,0.030628922,0.229536317,1.484888141,4.039098043,3.296997755,0,0,0,0,0,0,0.018187983,0.008540532,0.011186051,0,0,0,0,0.014181547,0.155582183,0.365876022,0.151138987,0.288591991,1.165397287,3.15232148,3.97404348,0.080369601,0,0,0,0,0.001768145,0.018072701,0,0.005151277,0,0,0,0,0,0.353987425,0.965011468,0,0.675292907,3.507589354,5.776377977,6.66741211,0,0,0,0,0,0,0.056795678,0.06961055,0.025814295,0.029689991,0.032961047,0.018142081,0.047027788,0.022664035,0.019796658,0.036470129,0.046892818,0.191072095,1.536154256,3.803236727,6.927681572,1.819233959,0.071269721,0.046229569,0.047922414,0.048500091,0.087732541,-0.946930129,-0.321439465,0.510666667,1
13/07/2014 17:00,0.045578968,0,0.018394435,0,0.057198798,0.045578968,0.094615179,0.043684263,0.045668667,0.044466334,0.029457192,0.045755842,0.059462266,0.075444017,0.070747489,0.086507038,0.148201085,0.195654204,0.62489281,2.021236368,3.532163169,2.470470976,0.227188641,0,0,0,0,0,0,0,0,0,0,0,0,0.030266778,0.929385966,0.030628922,0.229536317,1.484888141,4.039098043,3.296997755,0,0,0,0,0,0.018394435,0.018187983,0.008540532,0.011186051,0,0,0,0,0.014181547,0.155582183,0.365876022,0.151138987,0.288591991,1.165397287,3.15232148,3.97404348,0.080369601,0,0,0,0,0,0.018072701,0,0.005151277,0,0,0,0,0,0.353987425,0.965011468,0,0.675292907,3.507589354,5.776377977,6.66741211,0,0,0,0,0,0.057198798,0.056795678,0.06961055,0.025814295,0.029689991,0.032961047,0.018142081,0.047027788,0.022664035,0.019796658,0.036470129,0.046892818,0.191072095,1.536154256,3.803236727,6.927681572,1.819233959,0.071269721,0.046229569,0.047922414,0.048500091,-0.965925826,-0.258819045,0.498666667,1
13/07/2014 17:15,0.045548046,0,0.023116761,0,0.056998874,0.045548046,0.045578968,0.094615179,0.043684263,0.045668667,0.044466334,0.029457192,0.045755842,0.059462266,0.075444017,0.070747489,0.086507038,0.148201085,0.195654204,0.62489281,2.021236368,3.532163169,2.470470976,0.227188641,0,0,0,0,0,0,0,0,0,0,0,0,0.030266778,0.929385966,0.030628922,0.229536317,1.484888141,4.039098043,3.296997755,0,0,0,0,0.023116761,0.018394435,0.018187983,0.008540532,0.011186051,0,0,0,0,0.014181547,0.155582183,0.365876022,0.151138987,0.288591991,1.165397287,3.15232148,3.97404348,0.080369601,0,0,0,0,0,0.018072701,0,0.005151277,0,0,0,0,0,0.353987425,0.965011468,0,0.675292907,3.507589354,5.776377977,6.66741211,0,0,0,0,0.056998874,0.057198798,0.056795678,0.06961055,0.025814295,0.029689991,0.032961047,0.018142081,0.047027788,0.022664035,0.019796658,0.036470129,0.046892818,0.191072095,1.536154256,3.803236727,6.927681572,1.819233959,0.071269721,0.046229569,0.047922414,-0.98078528,-0.195090322,0.493333333,1
13/07/2014 17:30,0.02840285,0,0,0,0.02775681,0.02840285,0.045548046,0.045578968,0.094615179,0.043684263,0.045668667,0.044466334,0.029457192,0.045755842,0.059462266,0.075444017,0.070747489,0.086507038,0.148201085,0.195654204,0.62489281,2.021236368,3.532163169,2.470470976,0.227188641,0,0,0,0,0,0,0,0,0,0,0,0,0.030266778,0.929385966,0.030628922,0.229536317,1.484888141,4.039098043,3.296997755,0,0,0,0,0.023116761,0.018394435,0.018187983,0.008540532,0.011186051,0,0,0,0,0.014181547,0.155582183,0.365876022,0.151138987,0.288591991,1.165397287,3.15232148,3.97404348,0.080369601,0,0,0,0,0,0.018072701,0,0.005151277,0,0,0,0,0,0.353987425,0.965011468,0,0.675292907,3.507589354,5.776377977,6.66741211,0,0,0,0.02775681,0.056998874,0.057198798,0.056795678,0.06961055,0.025814295,0.029689991,0.032961047,0.018142081,0.047027788,0.022664035,0.019796658,0.036470129,0.046892818,0.191072095,1.536154256,3.803236727,6.927681572,1.819233959,0.071269721,0.046229569,-0.991444861,-0.130526192,0.485,1
13/07/2014 17:45,0,0,0,0,0.022549668,0,0.02840285,0.045548046,0.045578968,0.094615179,0.043684263,0.045668667,0.044466334,0.029457192,0.045755842,0.059462266,0.075444017,0.070747489,0.086507038,0.148201085,0.195654204,0.62489281,2.021236368,3.532163169,2.470470976,0.227188641,0,0,0,0,0,0,0,0,0,0,0,0,0.030266778,0.929385966,0.030628922,0.229536317,1.484888141,4.039098043,3.296997755,0,0,0,0,0.023116761,0.018394435,0.018187983,0.008540532,0.011186051,0,0,0,0,0.014181547,0.155582183,0.365876022,0.151138987,0.288591991,1.165397287,3.15232148,3.97404348,0.080369601,0,0,0,0,0,0.018072701,0,0.005151277,0,0,0,0,0,0.353987425,0.965011468,0,0.675292907,3.507589354,5.776377977,6.66741211,0,0,0.022549668,0.02775681,0.056998874,0.057198798,0.056795678,0.06961055,0.025814295,0.029689991,0.032961047,0.018142081,0.047027788,0.022664035,0.019796658,0.036470129,0.046892818,0.191072095,1.536154256,3.803236727,6.927681572,1.819233959,0.071269721,-0.997858923,-0.065403129,0.490333333,1
