,group_0,group_1,group_2,group_3,group_4,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,0_9,0_10,0_11,0_12,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,1_10,1_11,1_12,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9,2_10,2_11,2_12,3_0,3_1,3_2,3_3,3_4,3_5,3_6,3_7,3_8,3_9,3_10,3_11,3_12,4_0,4_1,4_2,4_3,4_4,4_5,4_6,4_7,4_8,4_9,4_10,4_11,4_12,time_in_hours_sin,time_in_hours_cos,0,event
2014-07-13 13:00:00,0.032606212,1.667373954,0.0,3.504880771,1.836654195,0.032606212,0.0,0.0,0.0,0.0,0.001768145,0.000933671,0.001365753,0.0,0.0,0.0,0.0,0.0,1.667373954,0.059660249,0.02197533,0.022058995,0.021852212,0.059292024,0.039612529,0.025761298,0.022407345,0.019808681,0.020787111,0.020318313,0.024292739,0.0,0.0,0.020878608,0.00707938,0.015997868,0.001075312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.504880771,0.023605596,0.0,0.0,0.0,0.001447288,0.020989441,0.0,0.0,0.0,0.0,0.0,0.0,1.836654195,0.065638288,0.065832936,0.070200709,0.072329959,0.077195688,0.07040402,0.071026878,0.066465111,0.072751659,0.076970246,0.076627244,0.062992525,-0.258819045,-0.965925826,0.342333333,1
2014-07-13 13:15:00,3.463854757,5.787135492,4.05425922,9.01256139,7.31860847,3.463854757,0.032606212,0.0,0.0,0.0,0.0,0.001768145,0.000933671,0.001365753,0.0,0.0,0.0,0.0,5.787135492,1.667373954,0.059660249,0.02197533,0.022058995,0.021852212,0.059292024,0.039612529,0.025761298,0.022407345,0.019808681,0.020787111,0.020318313,4.05425922,0.0,0.0,0.020878608,0.00707938,0.015997868,0.001075312,0.0,0.0,0.0,0.0,0.0,0.0,9.01256139,3.504880771,0.023605596,0.0,0.0,0.0,0.001447288,0.020989441,0.0,0.0,0.0,0.0,0.0,7.31860847,1.836654195,0.065638288,0.065832936,0.070200709,0.072329959,0.077195688,0.07040402,0.071026878,0.066465111,0.072751659,0.076970246,0.076627244,-0.321439465,-0.946930129,0.334,1
2014-07-13 13:30:00,3.178081204,3.565266242,4.157448332,3.772686014,4.198166735,3.178081204,3.463854757,0.032606212,0.0,0.0,0.0,0.0,0.001768145,0.000933671,0.001365753,0.0,0.0,0.0,3.565266242,5.787135492,1.667373954,0.059660249,0.02197533,0.022058995,0.021852212,0.059292024,0.039612529,0.025761298,0.022407345,0.019808681,0.020787111,4.157448332,4.05425922,0.0,0.0,0.020878608,0.00707938,0.015997868,0.001075312,0.0,0.0,0.0,0.0,0.0,3.772686014,9.01256139,3.504880771,0.023605596,0.0,0.0,0.0,0.001447288,0.020989441,0.0,0.0,0.0,0.0,4.198166735,7.31860847,1.836654195,0.065638288,0.065832936,0.070200709,0.072329959,0.077195688,0.07040402,0.071026878,0.066465111,0.072751659,0.076970246,-0.382683432,-0.923879533,0.592,1
2014-07-13 13:45:00,1.261475446,1.490449998,2.674413644,1.10356013,1.801715893,1.261475446,3.178081204,3.463854757,0.032606212,0.0,0.0,0.0,0.0,0.001768145,0.000933671,0.001365753,0.0,0.0,1.490449998,3.565266242,5.787135492,1.667373954,0.059660249,0.02197533,0.022058995,0.021852212,0.059292024,0.039612529,0.025761298,0.022407345,0.019808681,2.674413644,4.157448332,4.05425922,0.0,0.0,0.020878608,0.00707938,0.015997868,0.001075312,0.0,0.0,0.0,0.0,1.10356013,3.772686014,9.01256139,3.504880771,0.023605596,0.0,0.0,0.0,0.001447288,0.020989441,0.0,0.0,0.0,1.801715893,4.198166735,7.31860847,1.836654195,0.065638288,0.065832936,0.070200709,0.072329959,0.077195688,0.07040402,0.071026878,0.066465111,0.072751659,-0.44228869,-0.896872742,1.102666667,1
2014-07-13 14:00:00,0.350779441,0.133872279,0.772527505,0.28633814,0.273161357,0.350779441,1.261475446,3.178081204,3.463854757,0.032606212,0.0,0.0,0.0,0.0,0.001768145,0.000933671,0.001365753,0.0,0.133872279,1.490449998,3.565266242,5.787135492,1.667373954,0.059660249,0.02197533,0.022058995,0.021852212,0.059292024,0.039612529,0.025761298,0.022407345,0.772527505,2.674413644,4.157448332,4.05425922,0.0,0.0,0.020878608,0.00707938,0.015997868,0.001075312,0.0,0.0,0.0,0.28633814,1.10356013,3.772686014,9.01256139,3.504880771,0.023605596,0.0,0.0,0.0,0.001447288,0.020989441,0.0,0.0,0.273161357,1.801715893,4.198166735,7.31860847,1.836654195,0.065638288,0.065832936,0.070200709,0.072329959,0.077195688,0.07040402,0.071026878,0.066465111,-0.5,-0.866025404,1.312666667,1
2014-07-13 14:15:00,0.128564287,0.020729815,0.073113078,0.159350746,0.054137273,0.128564287,0.350779441,1.261475446,3.178081204,3.463854757,0.032606212,0.0,0.0,0.0,0.0,0.001768145,0.000933671,0.001365753,0.020729815,0.133872279,1.490449998,3.565266242,5.787135492,1.667373954,0.059660249,0.02197533,0.022058995,0.021852212,0.059292024,0.039612529,0.025761298,0.073113078,0.772527505,2.674413644,4.157448332,4.05425922,0.0,0.0,0.020878608,0.00707938,0.015997868,0.001075312,0.0,0.0,0.159350746,0.28633814,1.10356013,3.772686014,9.01256139,3.504880771,0.023605596,0.0,0.0,0.0,0.001447288,0.020989441,0.0,0.054137273,0.273161357,1.801715893,4.198166735,7.31860847,1.836654195,0.065638288,0.065832936,0.070200709,0.072329959,0.077195688,0.07040402,0.071026878,-0.555570233,-0.831469612,1.324666667,1
2014-07-13 14:30:00,0.430340622,0.018007843,0.732000857,0.063110819,0.057246781,0.430340622,0.128564287,0.350779441,1.261475446,3.178081204,3.463854757,0.032606212,0.0,0.0,0.0,0.0,0.001768145,0.000933671,0.018007843,0.020729815,0.133872279,1.490449998,3.565266242,5.787135492,1.667373954,0.059660249,0.02197533,0.022058995,0.021852212,0.059292024,0.039612529,0.732000857,0.073113078,0.772527505,2.674413644,4.157448332,4.05425922,0.0,0.0,0.020878608,0.00707938,0.015997868,0.001075312,0.0,0.063110819,0.159350746,0.28633814,1.10356013,3.772686014,9.01256139,3.504880771,0.023605596,0.0,0.0,0.0,0.001447288,0.020989441,0.057246781,0.054137273,0.273161357,1.801715893,4.198166735,7.31860847,1.836654195,0.065638288,0.065832936,0.070200709,0.072329959,0.077195688,0.07040402,-0.608761429,-0.79335334,1.216333333,1
2014-07-13 14:45:00,0.156778688,0.00078312,0.423827119,0.083247975,0.022207823,0.156778688,0.430340622,0.128564287,0.350779441,1.261475446,3.178081204,3.463854757,0.032606212,0.0,0.0,0.0,0.0,0.001768145,0.00078312,0.018007843,0.020729815,0.133872279,1.490449998,3.565266242,5.787135492,1.667373954,0.059660249,0.02197533,0.022058995,0.021852212,0.059292024,0.423827119,0.732000857,0.073113078,0.772527505,2.674413644,4.157448332,4.05425922,0.0,0.0,0.020878608,0.00707938,0.015997868,0.001075312,0.083247975,0.063110819,0.159350746,0.28633814,1.10356013,3.772686014,9.01256139,3.504880771,0.023605596,0.0,0.0,0.0,0.001447288,0.022207823,0.057246781,0.054137273,0.273161357,1.801715893,4.198166735,7.31860847,1.836654195,0.065638288,0.065832936,0.070200709,0.072329959,0.077195688,-0.659345815,-0.751839807,1.129,1
2014-07-13 15:00:00,0.007100184,0.0,0.101180595,0.034972218,0.061516668,0.007100184,0.156778688,0.430340622,0.128564287,0.350779441,1.261475446,3.178081204,3.463854757,0.032606212,0.0,0.0,0.0,0.0,0.0,0.00078312,0.018007843,0.020729815,0.133872279,1.490449998,3.565266242,5.787135492,1.667373954,0.059660249,0.02197533,0.022058995,0.021852212,0.101180595,0.423827119,0.732000857,0.073113078,0.772527505,2.674413644,4.157448332,4.05425922,0.0,0.0,0.020878608,0.00707938,0.015997868,0.034972218,0.083247975,0.063110819,0.159350746,0.28633814,1.10356013,3.772686014,9.01256139,3.504880771,0.023605596,0.0,0.0,0.0,0.061516668,0.022207823,0.057246781,0.054137273,0.273161357,1.801715893,4.198166735,7.31860847,1.836654195,0.065638288,0.065832936,0.070200709,0.072329959,-0.707106781,-0.707106781,1.083333333,1
2014-07-13 15:15:00,0.0,0.023475597,0.148881077,0.095216279,0.063927375,0.0,0.007100184,0.156778688,0.430340622,0.128564287,0.350779441,1.261475446,3.178081204,3.463854757,0.032606212,0.0,0.0,0.0,0.023475597,0.0,0.00078312,0.018007843,0.020729815,0.133872279,1.490449998,3.565266242,5.787135492,1.667373954,0.059660249,0.02197533,0.022058995,0.148881077,0.101180595,0.423827119,0.732000857,0.073113078,0.772527505,2.674413644,4.157448332,4.05425922,0.0,0.0,0.020878608,0.00707938,0.095216279,0.034972218,0.083247975,0.063110819,0.159350746,0.28633814,1.10356013,3.772686014,9.01256139,3.504880771,0.023605596,0.0,0.0,0.063927375,0.061516668,0.022207823,0.057246781,0.054137273,0.273161357,1.801715893,4.198166735,7.31860847,1.836654195,0.065638288,0.065832936,0.070200709,-0.751839807,-0.659345815,1.067333333,1
