,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,0_9,0_10,0_11,0_12,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,1_10,1_11,1_12,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9,2_10,2_11,2_12,3_0,3_1,3_2,3_3,3_4,3_5,3_6,3_7,3_8,3_9,3_10,3_11,3_12,4_0,4_1,4_2,4_3,4_4,4_5,4_6,4_7,4_8,4_9,4_10,4_11,4_12,5_0,5_1,5_2,5_3,5_4,5_5,5_6,5_7,5_8,5_9,5_10,5_11,5_12,6_0,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,6_9,6_10,6_11,6_12,7_0,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10,7_11,7_12,8_0,8_1,8_2,8_3,8_4,8_5,8_6,8_7,8_8,8_9,8_10,8_11,8_12,9_0,9_1,9_2,9_3,9_4,9_5,9_6,9_7,9_8,9_9,9_10,9_11,9_12,time_in_hours_sin,time_in_hours_cos,0,event
2014-07-27 16:00:00,4.97701082919054,0.6311055208870826,0.565236593368752,0.7324102684446459,0.7071802848141218,0.6594418642593425,0.6736125897892151,0.7158446677604147,0.6380593105225003,0.7660964406047199,0.7102335287798951,0.6132779428566053,0.6188747574313282,8.254288338440588,0.113435788048811,0.6412304296208191,0.0,0.0,0.0,0.0,0.3778594883453223,0.0,0.0,0.1631038183242026,0.1635345215266852,0.339704079249266,0.0,0.5293636077542416,0.575185752942474,1.1015347782377205,1.2379145501187525,1.1900963384390622,1.3003925261265294,1.1449679130705022,1.0912336188436456,1.0332643808313904,1.0938990308571874,1.227282871152802,1.0763319408874494,8.176995245189062,0.2809567691513095,0.0,0.4401520677619857,0.2621750054318639,0.1480817032449124,0.0,0.0,0.0,0.0645852167193794,0.3506140778740843,0.0,0.0,0.0,0.2892835051858036,0.2980976684096639,0.2591324358075653,0.3123548576131192,0.3123005983082976,0.3016425067912998,0.3019005468298381,0.301807493087491,0.317642983559093,0.3176845119540274,0.3123181196402278,0.3342131663314447,3.644623738880915,0.2178754388082069,0.2114904213145578,0.2389237983016734,0.2235133655553269,0.2221405931499713,0.2395001569277823,0.2315740808963937,0.2252016764787843,0.2618631290674713,0.2289257898280272,0.2276793849940386,0.271533131265679,8.254288338440588,0.113435788048811,0.6412304296208191,0.0,0.0,0.0,0.0,0.3778594883453223,0.0,0.0,0.1631038183242026,0.1635345215266852,0.339704079249266,0.0,0.2686024169412349,0.2894319022228071,0.4608734651740036,0.4781510895504102,0.4699326961310817,0.4886072334237283,0.4135961783010859,0.459982645948763,0.4424030470083835,0.486890997976813,0.4994179216996386,0.3947683123003145,8.176995245189062,0.2809567691513095,0.0,0.4401520677619857,0.2621750054318639,0.1480817032449124,0.0,0.0,0.0,0.0645852167193794,0.3506140778740843,0.0,0.0,0.0,0.0964278350619345,0.0993658894698879,0.0863774786025217,0.1109344670855965,0.1135695184854448,0.108561450389749,0.1112652791008391,0.111234261186721,0.1165127580105883,0.1165354519123399,0.1188664936754075,0.1520136010009309,-0.8660254037844385,-0.5000000000000004,0.0290666666666666,1
2014-07-27 16:15:00,12.36784310548262,4.97701082919054,0.6311055208870826,0.565236593368752,0.7324102684446459,0.7071802848141218,0.6594418642593425,0.6736125897892151,0.7158446677604147,0.6380593105225003,0.7660964406047199,0.7102335287798951,0.6132779428566053,20.57544986675554,8.254288338440588,0.113435788048811,0.6412304296208191,0.0,0.0,0.0,0.0,0.3778594883453223,0.0,0.0,0.1631038183242026,0.1635345215266852,0.0,0.0,0.5293636077542416,0.575185752942474,1.1015347782377205,1.2379145501187525,1.1900963384390622,1.3003925261265294,1.1449679130705022,1.0912336188436456,1.0332643808313904,1.0938990308571874,1.227282871152802,22.06902444312076,8.176995245189062,0.2809567691513095,0.0,0.4401520677619857,0.2621750054318639,0.1480817032449124,0.0,0.0,0.0,0.0645852167193794,0.3506140778740843,0.0,0.0,0.0,0.2892835051858036,0.2980976684096639,0.2591324358075653,0.3123548576131192,0.3123005983082976,0.3016425067912998,0.3019005468298381,0.301807493087491,0.317642983559093,0.3176845119540274,0.3123181196402278,8.98155207821255,3.644623738880915,0.2178754388082069,0.2114904213145578,0.2389237983016734,0.2235133655553269,0.2221405931499713,0.2395001569277823,0.2315740808963937,0.2252016764787843,0.2618631290674713,0.2289257898280272,0.2276793849940386,20.57544986675554,8.254288338440588,0.113435788048811,0.6412304296208191,0.0,0.0,0.0,0.0,0.3778594883453223,0.0,0.0,0.1631038183242026,0.1635345215266852,0.0,0.0,0.2686024169412349,0.2894319022228071,0.4608734651740036,0.4781510895504102,0.4699326961310817,0.4886072334237283,0.4135961783010859,0.459982645948763,0.4424030470083835,0.486890997976813,0.4994179216996386,22.06902444312076,8.176995245189062,0.2809567691513095,0.0,0.4401520677619857,0.2621750054318639,0.1480817032449124,0.0,0.0,0.0,0.0645852167193794,0.3506140778740843,0.0,0.0,0.0,0.0964278350619345,0.0993658894698879,0.0863774786025217,0.1109344670855965,0.1135695184854448,0.108561450389749,0.1112652791008391,0.111234261186721,0.1165127580105883,0.1165354519123399,0.1188664936754075,-0.8968727415326883,-0.4422886902190013,0.031,1
2014-07-27 16:30:00,0.4801300081921056,12.36784310548262,4.97701082919054,0.6311055208870826,0.565236593368752,0.7324102684446459,0.7071802848141218,0.6594418642593425,0.6736125897892151,0.7158446677604147,0.6380593105225003,0.7660964406047199,0.7102335287798951,4.955674961296488,20.57544986675554,8.254288338440588,0.113435788048811,0.6412304296208191,0.0,0.0,0.0,0.0,0.3778594883453223,0.0,0.0,0.1631038183242026,0.1321792218185109,0.0,0.0,0.5293636077542416,0.575185752942474,1.1015347782377205,1.2379145501187525,1.1900963384390622,1.3003925261265294,1.1449679130705022,1.0912336188436456,1.0332643808313904,1.0938990308571874,5.762634095442223,22.06902444312076,8.176995245189062,0.2809567691513095,0.0,0.4401520677619857,0.2621750054318639,0.1480817032449124,0.0,0.0,0.0,0.0645852167193794,0.3506140778740843,0.0,0.0,0.0,0.2892835051858036,0.2980976684096639,0.2591324358075653,0.3123548576131192,0.3123005983082976,0.3016425067912998,0.3019005468298381,0.301807493087491,0.317642983559093,0.3176845119540274,0.2477927783005444,8.98155207821255,3.644623738880915,0.2178754388082069,0.2114904213145578,0.2389237983016734,0.2235133655553269,0.2221405931499713,0.2395001569277823,0.2315740808963937,0.2252016764787843,0.2618631290674713,0.2289257898280272,4.955674961296488,20.57544986675554,8.254288338440588,0.113435788048811,0.6412304296208191,0.0,0.0,0.0,0.0,0.3778594883453223,0.0,0.0,0.1631038183242026,0.043660666425179,0.0,0.0,0.2686024169412349,0.2894319022228071,0.4608734651740036,0.4781510895504102,0.4699326961310817,0.4886072334237283,0.4135961783010859,0.459982645948763,0.4424030470083835,0.486890997976813,5.762634095442223,22.06902444312076,8.176995245189062,0.2809567691513095,0.0,0.4401520677619857,0.2621750054318639,0.1480817032449124,0.0,0.0,0.0,0.0645852167193794,0.3506140778740843,0.0,0.0,0.0,0.0964278350619345,0.0993658894698879,0.0863774786025217,0.1109344670855965,0.1135695184854448,0.108561450389749,0.1112652791008391,0.111234261186721,0.1165127580105883,0.1165354519123399,-0.9238795325112868,-0.3826834323650895,0.0307333333333333,1
2014-07-27 16:45:00,0.5095743181382417,0.4801300081921056,12.36784310548262,4.97701082919054,0.6311055208870826,0.565236593368752,0.7324102684446459,0.7071802848141218,0.6594418642593425,0.6736125897892151,0.7158446677604147,0.6380593105225003,0.7660964406047199,0.6544080235078766,4.955674961296488,20.57544986675554,8.254288338440588,0.113435788048811,0.6412304296208191,0.0,0.0,0.0,0.0,0.3778594883453223,0.0,0.0,0.0203965603799431,0.1321792218185109,0.0,0.0,0.5293636077542416,0.575185752942474,1.1015347782377205,1.2379145501187525,1.1900963384390622,1.3003925261265294,1.1449679130705022,1.0912336188436456,1.0332643808313904,0.6866059595023017,5.762634095442223,22.06902444312076,8.176995245189062,0.2809567691513095,0.0,0.4401520677619857,0.2621750054318639,0.1480817032449124,0.0,0.0,0.0,0.0645852167193794,0.0,0.0,0.0,0.0,0.2892835051858036,0.2980976684096639,0.2591324358075653,0.3123548576131192,0.3123005983082976,0.3016425067912998,0.3019005468298381,0.301807493087491,0.317642983559093,0.2765585388059559,0.2477927783005444,8.98155207821255,3.644623738880915,0.2178754388082069,0.2114904213145578,0.2389237983016734,0.2235133655553269,0.2221405931499713,0.2395001569277823,0.2315740808963937,0.2252016764787843,0.2618631290674713,0.6544080235078766,4.955674961296488,20.57544986675554,8.254288338440588,0.113435788048811,0.6412304296208191,0.0,0.0,0.0,0.0,0.3778594883453223,0.0,0.0,0.0050991400949857,0.043660666425179,0.0,0.0,0.2686024169412349,0.2894319022228071,0.4608734651740036,0.4781510895504102,0.4699326961310817,0.4886072334237283,0.4135961783010859,0.459982645948763,0.4424030470083835,0.6866059595023017,5.762634095442223,22.06902444312076,8.176995245189062,0.2809567691513095,0.0,0.4401520677619857,0.2621750054318639,0.1480817032449124,0.0,0.0,0.0,0.0645852167193794,0.0,0.0,0.0,0.0,0.0964278350619345,0.0993658894698879,0.0863774786025217,0.1109344670855965,0.1135695184854448,0.108561450389749,0.1112652791008391,0.111234261186721,0.1165127580105883,-0.9469301294951056,-0.3214394653031618,0.0317333333333333,1
2014-07-27 17:00:00,0.6404146138293427,0.5095743181382417,0.4801300081921056,12.36784310548262,4.97701082919054,0.6311055208870826,0.565236593368752,0.7324102684446459,0.7071802848141218,0.6594418642593425,0.6736125897892151,0.7158446677604147,0.6380593105225003,0.8695484869670977,0.6544080235078766,4.955674961296488,20.57544986675554,8.254288338440588,0.113435788048811,0.6412304296208191,0.0,0.0,0.0,0.0,0.3778594883453223,0.0,0.0631984247223869,0.0203965603799431,0.1321792218185109,0.0,0.0,0.5293636077542416,0.575185752942474,1.1015347782377205,1.2379145501187525,1.1900963384390622,1.3003925261265294,1.1449679130705022,1.0912336188436456,1.802368905522968,0.6866059595023017,5.762634095442223,22.06902444312076,8.176995245189062,0.2809567691513095,0.0,0.4401520677619857,0.2621750054318639,0.1480817032449124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2892835051858036,0.2980976684096639,0.2591324358075653,0.3123548576131192,0.3123005983082976,0.3016425067912998,0.3019005468298381,0.301807493087491,0.3173210098274506,0.2765585388059559,0.2477927783005444,8.98155207821255,3.644623738880915,0.2178754388082069,0.2114904213145578,0.2389237983016734,0.2235133655553269,0.2221405931499713,0.2395001569277823,0.2315740808963937,0.2252016764787843,0.8695484869670977,0.6544080235078766,4.955674961296488,20.57544986675554,8.254288338440588,0.113435788048811,0.6412304296208191,0.0,0.0,0.0,0.0,0.3778594883453223,0.0,0.0157996061805967,0.0050991400949857,0.043660666425179,0.0,0.0,0.2686024169412349,0.2894319022228071,0.4608734651740036,0.4781510895504102,0.4699326961310817,0.4886072334237283,0.4135961783010859,0.459982645948763,1.802368905522968,0.6866059595023017,5.762634095442223,22.06902444312076,8.176995245189062,0.2809567691513095,0.0,0.4401520677619857,0.2621750054318639,0.1480817032449124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0964278350619345,0.0993658894698879,0.0863774786025217,0.1109344670855965,0.1135695184854448,0.108561450389749,0.1112652791008391,0.111234261186721,-0.9659258262890684,-0.2588190451025206,0.0328666666666666,1
2014-07-27 17:15:00,0.5950104017295672,0.6404146138293427,0.5095743181382417,0.4801300081921056,12.36784310548262,4.97701082919054,0.6311055208870826,0.565236593368752,0.7324102684446459,0.7071802848141218,0.6594418642593425,0.6736125897892151,0.7158446677604147,0.7356039860021326,0.8695484869670977,0.6544080235078766,4.955674961296488,20.57544986675554,8.254288338440588,0.113435788048811,0.6412304296208191,0.0,0.0,0.0,0.0,0.3778594883453223,0.0749061630046341,0.0631984247223869,0.0203965603799431,0.1321792218185109,0.0,0.0,0.5293636077542416,0.575185752942474,1.1015347782377205,1.2379145501187525,1.1900963384390622,1.3003925261265294,1.1449679130705022,1.0092823097713577,1.802368905522968,0.6866059595023017,5.762634095442223,22.06902444312076,8.176995245189062,0.2809567691513095,0.0,0.4401520677619857,0.2621750054318639,0.1480817032449124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2892835051858036,0.2980976684096639,0.2591324358075653,0.3123548576131192,0.3123005983082976,0.3016425067912998,0.3019005468298381,0.3582121674611684,0.3173210098274506,0.2765585388059559,0.2477927783005444,8.98155207821255,3.644623738880915,0.2178754388082069,0.2114904213145578,0.2389237983016734,0.2235133655553269,0.2221405931499713,0.2395001569277823,0.2315740808963937,0.7356039860021326,0.8695484869670977,0.6544080235078766,4.955674961296488,20.57544986675554,8.254288338440588,0.113435788048811,0.6412304296208191,0.0,0.0,0.0,0.0,0.3778594883453223,0.0315085706867694,0.0157996061805967,0.0050991400949857,0.043660666425179,0.0,0.0,0.2686024169412349,0.2894319022228071,0.4608734651740036,0.4781510895504102,0.4699326961310817,0.4886072334237283,0.4135961783010859,1.0092823097713577,1.802368905522968,0.6866059595023017,5.762634095442223,22.06902444312076,8.176995245189062,0.2809567691513095,0.0,0.4401520677619857,0.2621750054318639,0.1480817032449124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0964278350619345,0.0993658894698879,0.0863774786025217,0.1109344670855965,0.1135695184854448,0.108561450389749,0.1112652791008391,-0.9807852804032304,-0.1950903220161286,0.0318666666666666,1
2014-07-27 17:30:00,0.5623142715146088,0.5950104017295672,0.6404146138293427,0.5095743181382417,0.4801300081921056,12.36784310548262,4.97701082919054,0.6311055208870826,0.565236593368752,0.7324102684446459,0.7071802848141218,0.6594418642593425,0.6736125897892151,0.0,0.7356039860021326,0.8695484869670977,0.6544080235078766,4.955674961296488,20.57544986675554,8.254288338440588,0.113435788048811,0.6412304296208191,0.0,0.0,0.0,0.0,0.167839847735209,0.0749061630046341,0.0631984247223869,0.0203965603799431,0.1321792218185109,0.0,0.0,0.5293636077542416,0.575185752942474,1.1015347782377205,1.2379145501187525,1.1900963384390622,1.3003925261265294,0.3958202889210724,1.0092823097713577,1.802368905522968,0.6866059595023017,5.762634095442223,22.06902444312076,8.176995245189062,0.2809567691513095,0.0,0.4401520677619857,0.2621750054318639,0.1480817032449124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2892835051858036,0.2980976684096639,0.2591324358075653,0.3123548576131192,0.3123005983082976,0.3016425067912998,0.266005440303223,0.3582121674611684,0.3173210098274506,0.2765585388059559,0.2477927783005444,8.98155207821255,3.644623738880915,0.2178754388082069,0.2114904213145578,0.2389237983016734,0.2235133655553269,0.2221405931499713,0.2395001569277823,0.0,0.7356039860021326,0.8695484869670977,0.6544080235078766,4.955674961296488,20.57544986675554,8.254288338440588,0.113435788048811,0.6412304296208191,0.0,0.0,0.0,0.0,0.0562671932139071,0.0315085706867694,0.0157996061805967,0.0050991400949857,0.043660666425179,0.0,0.0,0.2686024169412349,0.2894319022228071,0.4608734651740036,0.4781510895504102,0.4699326961310817,0.4886072334237283,0.3958202889210724,1.0092823097713577,1.802368905522968,0.6866059595023017,5.762634095442223,22.06902444312076,8.176995245189062,0.2809567691513095,0.0,0.4401520677619857,0.2621750054318639,0.1480817032449124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0964278350619345,0.0993658894698879,0.0863774786025217,0.1109344670855965,0.1135695184854448,0.108561450389749,-0.9914448613738104,-0.1305261922200516,0.0402333333333333,1
2014-07-27 17:45:00,0.4720084194979463,0.5623142715146088,0.5950104017295672,0.6404146138293427,0.5095743181382417,0.4801300081921056,12.36784310548262,4.97701082919054,0.6311055208870826,0.565236593368752,0.7324102684446459,0.7071802848141218,0.6594418642593425,0.0,0.0,0.7356039860021326,0.8695484869670977,0.6544080235078766,4.955674961296488,20.57544986675554,8.254288338440588,0.113435788048811,0.6412304296208191,0.0,0.0,0.0,0.0314661822581641,0.167839847735209,0.0749061630046341,0.0631984247223869,0.0203965603799431,0.1321792218185109,0.0,0.0,0.5293636077542416,0.575185752942474,1.1015347782377205,1.2379145501187525,1.1900963384390622,0.5785881999139448,0.3958202889210724,1.0092823097713577,1.802368905522968,0.6866059595023017,5.762634095442223,22.06902444312076,8.176995245189062,0.2809567691513095,0.0,0.4401520677619857,0.2621750054318639,0.1480817032449124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2892835051858036,0.2980976684096639,0.2591324358075653,0.3123548576131192,0.3123005983082976,0.2034478893391682,0.266005440303223,0.3582121674611684,0.3173210098274506,0.2765585388059559,0.2477927783005444,8.98155207821255,3.644623738880915,0.2178754388082069,0.2114904213145578,0.2389237983016734,0.2235133655553269,0.2221405931499713,0.0,0.0,0.7356039860021326,0.8695484869670977,0.6544080235078766,4.955674961296488,20.57544986675554,8.254288338440588,0.113435788048811,0.6412304296208191,0.0,0.0,0.0,0.007866545564541,0.0562671932139071,0.0315085706867694,0.0157996061805967,0.0050991400949857,0.043660666425179,0.0,0.0,0.2686024169412349,0.2894319022228071,0.4608734651740036,0.4781510895504102,0.4699326961310817,0.5785881999139448,0.3958202889210724,1.0092823097713577,1.802368905522968,0.6866059595023017,5.762634095442223,22.06902444312076,8.176995245189062,0.2809567691513095,0.0,0.4401520677619857,0.2621750054318639,0.1480817032449124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0964278350619345,0.0993658894698879,0.0863774786025217,0.1109344670855965,0.1135695184854448,-0.9978589232386036,-0.0654031292301427,0.0343333333333333,1
2014-07-27 18:00:00,0.3738947155343481,0.4720084194979463,0.5623142715146088,0.5950104017295672,0.6404146138293427,0.5095743181382417,0.4801300081921056,12.36784310548262,4.97701082919054,0.6311055208870826,0.565236593368752,0.7324102684446459,0.7071802848141218,0.0,0.0,0.0,0.7356039860021326,0.8695484869670977,0.6544080235078766,4.955674961296488,20.57544986675554,8.254288338440588,0.113435788048811,0.6412304296208191,0.0,0.0,0.0273601128309053,0.0314661822581641,0.167839847735209,0.0749061630046341,0.0631984247223869,0.0203965603799431,0.1321792218185109,0.0,0.0,0.5293636077542416,0.575185752942474,1.1015347782377205,1.2379145501187525,0.0,0.5785881999139448,0.3958202889210724,1.0092823097713577,1.802368905522968,0.6866059595023017,5.762634095442223,22.06902444312076,8.176995245189062,0.2809567691513095,0.0,0.4401520677619857,0.2621750054318639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2892835051858036,0.2980976684096639,0.2591324358075653,0.3123548576131192,0.1158031657914157,0.2034478893391682,0.266005440303223,0.3582121674611684,0.3173210098274506,0.2765585388059559,0.2477927783005444,8.98155207821255,3.644623738880915,0.2178754388082069,0.2114904213145578,0.2389237983016734,0.2235133655553269,0.0,0.0,0.0,0.7356039860021326,0.8695484869670977,0.6544080235078766,4.955674961296488,20.57544986675554,8.254288338440588,0.113435788048811,0.6412304296208191,0.0,0.0,0.0068400282077263,0.007866545564541,0.0562671932139071,0.0315085706867694,0.0157996061805967,0.0050991400949857,0.043660666425179,0.0,0.0,0.2686024169412349,0.2894319022228071,0.4608734651740036,0.4781510895504102,0.0,0.5785881999139448,0.3958202889210724,1.0092823097713577,1.802368905522968,0.6866059595023017,5.762634095442223,22.06902444312076,8.176995245189062,0.2809567691513095,0.0,0.4401520677619857,0.2621750054318639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0964278350619345,0.0993658894698879,0.0863774786025217,0.1109344670855965,-1.0,-1.8369701987210292e-16,0.0349,1
2014-07-27 18:15:00,0.2491815922397648,0.3738947155343481,0.4720084194979463,0.5623142715146088,0.5950104017295672,0.6404146138293427,0.5095743181382417,0.4801300081921056,12.36784310548262,4.97701082919054,0.6311055208870826,0.565236593368752,0.7324102684446459,0.0,0.0,0.0,0.0,0.7356039860021326,0.8695484869670977,0.6544080235078766,4.955674961296488,20.57544986675554,8.254288338440588,0.113435788048811,0.6412304296208191,0.0,0.0684889229238336,0.0273601128309053,0.0314661822581641,0.167839847735209,0.0749061630046341,0.0631984247223869,0.0203965603799431,0.1321792218185109,0.0,0.0,0.5293636077542416,0.575185752942474,1.1015347782377205,0.0401510039885977,0.0,0.5785881999139448,0.3958202889210724,1.0092823097713577,1.802368905522968,0.6866059595023017,5.762634095442223,22.06902444312076,8.176995245189062,0.2809567691513095,0.0,0.4401520677619857,0.037146894693592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2892835051858036,0.2980976684096639,0.2591324358075653,0.1221374510368242,0.1158031657914157,0.2034478893391682,0.266005440303223,0.3582121674611684,0.3173210098274506,0.2765585388059559,0.2477927783005444,8.98155207821255,3.644623738880915,0.2178754388082069,0.2114904213145578,0.2389237983016734,0.0,0.0,0.0,0.0,0.7356039860021326,0.8695484869670977,0.6544080235078766,4.955674961296488,20.57544986675554,8.254288338440588,0.113435788048811,0.6412304296208191,0.0,0.0288315827830522,0.0068400282077263,0.007866545564541,0.0562671932139071,0.0315085706867694,0.0157996061805967,0.0050991400949857,0.043660666425179,0.0,0.0,0.2686024169412349,0.2894319022228071,0.4608734651740036,0.0401510039885977,0.0,0.5785881999139448,0.3958202889210724,1.0092823097713577,1.802368905522968,0.6866059595023017,5.762634095442223,22.06902444312076,8.176995245189062,0.2809567691513095,0.0,0.4401520677619857,0.0123822982311973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0964278350619345,0.0993658894698879,0.0863774786025217,-0.9978589232386036,0.0654031292301423,0.0345,1
